"icao_code","iata_code","name","city","country","latitude","longitude","altitude","timezone","dst","type","source"
"AYGA","GKA","Goroka Airport","Goroka","Papua New Guinea","-6.081689834590001","145.391998291","5282","10","U","airport","OurAirports"
"AYMD","MAG","Madang Airport","Madang","Papua New Guinea","-5.20707988739","145.789001465","20","10","U","airport","OurAirports"
"AYMH","HGU","Mount Hagen Kagamuga Airport","Mount Hagen","Papua New Guinea","-5.826789855957031","144.29600524902344","5388","10","U","airport","OurAirports"
"AYNZ","LAE","Nadzab Airport","Nadzab","Papua New Guinea","-6.569803","146.725977","239","10","U","airport","OurAirports"
"AYPY","POM","Port Moresby Jacksons International Airport","Port Moresby","Papua New Guinea","-9.44338035583496","147.22000122070312","146","10","U","airport","OurAirports"
"AYWK","WWK","Wewak International Airport","Wewak","Papua New Guinea","-3.58383011818","143.669006348","19","10","U","airport","OurAirports"
"BGBW","UAK","Narsarsuaq Airport","Narssarssuaq","Greenland","61.1604995728","-45.4259986877","112","-3","E","airport","OurAirports"
"BGGH","GOH","Godthaab / Nuuk Airport","Godthaab","Greenland","64.19090271","-51.6781005859","283","-3","E","airport","OurAirports"
"BGSF","SFJ","Kangerlussuaq Airport","Sondrestrom","Greenland","67.0122218992","-50.7116031647","165","-3","E","airport","OurAirports"
"BGTL","THU","Thule Air Base","Thule","Greenland","76.5311965942","-68.7032012939","251","-4","E","airport","OurAirports"
"BIAR","AEY","Akureyri Airport","Akureyri","Iceland","65.66000366210938","-18.07270050048828","6","0","N","airport","OurAirports"
"BIEG","EGS","Egilsstaðir Airport","Egilsstadir","Iceland","65.2833023071289","-14.401399612426758","76","0","N","airport","OurAirports"
"BIHN","HFN","Hornafjörður Airport","Hofn","Iceland","64.295601","-15.2272","24","0","N","airport","OurAirports"
"BIHU","HZK","Húsavík Airport","Husavik","Iceland","65.952301","-17.426001","48","0","N","airport","OurAirports"
"BIIS","IFJ","Ísafjörður Airport","Isafjordur","Iceland","66.05809783935547","-23.135299682617188","8","0","N","airport","OurAirports"
"BIKF","KEF","Keflavik International Airport","Keflavik","Iceland","63.985000610352","-22.605600357056","171","0","N","airport","OurAirports"
