fecha,mean,max,min,count
2016-01-12,2.1,3.29,1.63,24
2016-02-12,2.08,4.06,1.42,24
2016-03-12,2.04,3.23,1.55,24
2016-04-12,2.16,3.64,1.5,24
2016-05-12,2.16,4.31,1.42,24
2016-06-12,2.16,3.52,1.6,24
2016-07-12,2.05,3.34,1.48,24
2016-08-12,2.1,2.97,1.52,24
2016-09-12,2.04,3.37,1.42,24
2016-10-12,2.11,2.99,1.62,24
2016-11-12,2.17,3.71,1.64,24
2016-11-22,2.72,3.38,2.06,2
2016-11-23,2.11,3.06,1.51,24
2016-11-24,2.11,3.82,1.61,24
2016-11-25,2.14,3.32,1.44,24
2016-11-26,2.18,3.78,1.55,24
2016-11-27,2.23,3.67,1.59,24
2016-11-28,2.19,3.65,1.44,24
2016-11-29,2.13,3.39,1.55,24
2016-11-30,2.19,3.49,1.49,24
2016-12-12,2.2,3.61,1.49,24
2016-12-13,2.21,3.9,1.49,24
2016-12-14,2.22,3.75,1.53,24
2016-12-15,2.02,2.9,1.55,24
2016-12-16,2.13,4.03,1.55,24
2016-12-17,2.03,3.25,1.45,24
2016-12-18,2.21,3.25,1.53,24
2016-12-19,2.21,4.09,1.45,24
2016-12-20,2.17,3.74,1.57,24
2016-12-21,2.13,3.38,1.47,24
2016-12-22,2.1,3.28,1.36,24
2016-12-23,2.15,3.47,1.54,24
2016-12-24,2.06,3.19,1.46,24
2016-12-25,2.16,5.43,1.44,24
2016-12-26,2.14,3.48,1.5,24
2016-12-27,2.17,3.89,1.64,24
2016-12-28,2.01,3.29,1.31,24
2016-12-29,2.12,4.09,1.3,24
2016-12-30,2.08,3.32,1.44,24
2016-12-31,1.98,3.09,1.63,24
2017-01-01,2.14,3.89,1.45,24
2017-01-02,2.02,3.55,1.27,24
2017-01-03,2.29,3.64,1.39,24
2017-01-13,2.11,3.43,1.25,24
2017-01-14,2.08,3.0,1.52,24
2017-01-15,2.1,3.01,1.62,24
2017-01-16,2.15,3.97,1.59,24
2017-01-17,2.15,3.11,1.61,24
2017-01-18,2.17,3.15,1.33,24
2017-01-19,2.08,3.04,1.27,24
2017-01-20,2.11,3.01,1.57,24
2017-01-21,2.06,2.72,1.44,24
2017-01-22,2.2,4.06,1.55,24
2017-01-23,2.05,3.84,1.32,24
2017-01-24,2.08,4.0,1.42,24
2017-01-25,2.02,3.58,1.38,24
2017-01-26,2.08,4.08,1.4,24
2017-01-27,2.02,3.89,1.37,24
2017-01-28,1.98,3.75,1.39,24
2017-01-29,2.22,4.01,1.45,24
2017-01-30,2.09,3.73,1.33,24
2017-01-31,2.09,4.06,1.23,24
2017-02-01,2.08,3.68,1.42,24
2017-02-02,1.64,3.3,1.21,23
2017-02-03,2.12,3.06,1.37,24
2017-02-13,1.54,2.3,1.12,24
2017-02-14,1.69,4.51,1.05,24
2017-02-15,2.1,3.67,1.32,24
2017-02-16,2.04,3.21,1.2,24
2017-02-17,2.14,3.47,1.41,24
2017-02-18,2.04,3.5,1.52,24
2017-02-19,2.33,4.53,1.6,24
2017-02-20,2.21,3.89,1.59,24
2017-02-21,2.13,3.49,1.45,24
2017-02-22,2.07,3.36,1.56,24
2017-02-23,2.06,3.41,1.44,24
2017-02-24,2.08,3.6,1.41,24
2017-02-25,2.06,3.15,1.62,24
2017-02-26,2.1,3.38,1.5,24
2017-02-27,2.09,3.56,1.54,24
2017-02-28,2.17,4.3,1.5,24
2017-03-01,2.11,3.06,1.55,24
2017-03-02,1.86,3.47,1.28,24
2017-03-03,2.07,3.9,1.4,24
2017-03-13,2.29,3.39,1.62,24
2017-03-14,2.37,4.01,1.75,24
2017-03-15,2.31,3.94,1.59,24
2017-03-16,2.27,3.23,1.54,24
2017-03-17,2.26,3.82,1.65,24
2017-03-18,2.13,3.33,1.25,24
2017-03-19,2.27,3.61,1.49,24
2017-03-20,2.32,4.05,1.56,24
2017-03-21,2.32,4.27,1.62,24
2017-03-22,,,,0
2017-04-01,2.07,3.38,1.57,24
2017-04-02,1.81,3.29,1.25,24
2017-04-03,2.1,3.56,1.38,24
2017-05-01,2.12,3.88,1.56,24
2017-05-02,1.79,3.78,1.1,24
2017-05-03,2.22,4.15,1.47,24
2017-06-01,1.99,3.95,1.26,24
2017-06-02,1.78,3.26,1.25,24
2017-06-03,2.19,3.41,1.31,24
2017-07-01,2.1,3.75,1.6,24
2017-07-02,1.69,2.85,1.14,24
2017-07-03,2.14,3.34,1.6,24
2017-08-01,2.12,3.23,1.55,24
2017-08-02,1.65,3.29,0.95,24
2017-08-03,2.12,3.58,1.43,24
2017-09-01,2.21,3.7,1.47,24
2017-09-02,1.78,3.55,1.35,24
2017-09-03,2.09,3.52,1.47,24
2017-10-01,2.04,3.41,1.53,24
2017-10-02,1.71,2.49,1.01,24
2017-10-03,2.39,3.92,1.59,24
2017-11-01,2.0,2.94,1.32,24
2017-11-02,1.71,2.71,1.29,24
2017-11-03,2.29,3.06,1.71,24
2017-12-01,2.13,3.17,1.36,24
2017-12-02,1.7,2.43,1.17,24
2017-12-03,2.28,3.98,1.62,24
